Region,Country,Item Type,Sales Channel,Order Priority,Units Sold,Unit Price,Unit Cost,Total Profit,Order year,Order Month,Order Weekday,Order_Ship_Days
Sub-Saharan Africa,Burundi,Baby Food,Online,H,1698,255.28,159.42,162770.28,2016,1,sun,25 days
Sub-Saharan Africa,Zambia,Baby Food,Offline,H,7526,255.28,159.42,721442.36,2011,5,mon,19 days
Asia,Singapore,Beverages,Offline,L,4571,47.45,31.79,71581.86,2010,2,thur,33 days
Sub-Saharan Africa,Ghana,Household,Online,L,4869,668.27,502.54,806939.37,2015,2,mon,41 days
Sub-Saharan Africa,Guinea,Meat,Offline,M,7487,421.89,364.69,428256.4,2011,6,mon,0 days
Sub-Saharan Africa,Zambia,Fruits,Online,L,3524,9.33,6.92,8492.84,2015,5,mon,37 days
Europe,Georgia,Snacks,Online,C,1109,152.58,97.44,61150.26,2010,5,sun,9 days
Middle East and North Africa,Bahrain,Baby Food,Online,M,404,255.28,159.42,38727.44,2011,2,sun,45 days
Sub-Saharan Africa,Lesotho,Personal Care,Offline,M,8601,81.73,56.67,215541.06,2014,6,fri,4 days
Central America and the Caribbean,Barbados,Cosmetics,Offline,H,4924,437.2,263.33,856135.88,2010,10,thur,15 days
Middle East and North Africa,Saudi Arabia,Vegetables,Online,H,5628,154.06,90.93,355295.64,2010,5,mon,43 days
Europe,Macedonia,Personal Care,Offline,H,8998,81.73,56.67,225489.88,2017,2,wed,14 days
Asia,Turkmenistan,Office Supplies,Offline,M,352,651.21,524.96,44440.0,2016,11,wed,45 days
Europe,Albania,Baby Food,Online,L,7040,255.28,159.42,674854.4,2011,12,thur,14 days
Middle East and North Africa,Afghanistan,Clothes,Online,C,3440,109.28,35.84,252633.6,2016,12,sun,42 days
Australia and Oceania,Kiribati,Clothes,Offline,M,5963,109.28,35.84,437922.72,2017,2,wed,6 days
Middle East and North Africa,Morocco,Cosmetics,Online,C,8053,437.2,263.33,1400175.11,2010,5,mon,29 days
Europe,Norway,Baby Food,Offline,L,5183,255.28,159.42,496842.38,2010,9,mon,41 days
Europe,Sweden,Cosmetics,Online,L,9858,437.2,263.33,1714010.46,2014,3,tue,13 days
Asia,Tajikistan,Personal Care,Online,M,6613,81.73,56.67,165721.78,2010,7,thur,31 days
Europe,Netherlands,Cosmetics,Online,M,7017,437.2,263.33,1220045.79,2016,12,sun,15 days
Europe,Spain,Vegetables,Online,L,4667,154.06,90.93,294627.71,2013,10,mon,2 days
Sub-Saharan Africa,Chad,Baby Food,Offline,H,194,255.28,159.42,18596.84,2016,8,mon,17 days
Europe,Ireland,Meat,Online,C,6259,421.89,364.69,358014.8,2011,10,wed,45 days
Middle East and North Africa,Pakistan,Meat,Online,C,2554,421.89,364.69,146088.8,2013,2,sat,12 days
Sub-Saharan Africa,Mozambique,Fruits,Online,C,804,9.33,6.92,1937.64,2012,12,thur,7 days
Middle East and North Africa,Bahrain,Fruits,Online,L,9762,9.33,6.92,23526.42,2015,11,thur,8 days
Asia,Tajikistan,Meat,Online,M,214,421.89,364.69,12240.8,2012,7,fri,5 days
Australia and Oceania,New Zealand,Meat,Offline,H,9980,421.89,364.69,570856.0,2013,6,sat,26 days
Sub-Saharan Africa,Niger,Baby Food,Online,L,8906,255.28,159.42,853729.16,2015,2,tue,13 days
Europe,Armenia,Fruits,Online,C,3872,9.33,6.92,9331.52,2011,4,wed,47 days
Sub-Saharan Africa,Gabon,Baby Food,Online,L,3791,255.28,159.42,363405.26,2012,2,tue,20 days
Asia,Kyrgyzstan,Vegetables,Offline,H,4604,154.06,90.93,290650.52,2017,1,sat,15 days
Australia and Oceania,Fiji,Clothes,Offline,L,4285,109.28,35.84,314690.4,2011,12,wed,28 days
Europe,Romania,Cosmetics,Online,H,7839,437.2,263.33,1362966.93,2017,5,sun,40 days
Sub-Saharan Africa,Botswana,Cereal,Online,C,2302,205.7,117.11,203934.18,2017,5,tue,49 days
Australia and Oceania,Fiji,Cosmetics,Online,M,1741,437.2,263.33,302707.67,2015,10,fri,39 days
Europe,Vatican City,Clothes,Offline,C,2256,109.28,35.84,165680.64,2010,4,sat,8 days
Asia,Thailand,Vegetables,Online,L,6975,154.06,90.93,440331.75,2010,7,fri,45 days
Europe,Belarus,Cereal,Offline,C,1060,205.7,117.11,93905.4,2012,5,wed,47 days
Australia and Oceania,Solomon Islands,Vegetables,Offline,L,6703,154.06,90.93,423160.39,2016,7,thur,2 days
Asia,China,Cosmetics,Offline,M,8128,437.2,263.33,1413215.36,2017,1,fri,13 days
Sub-Saharan Africa,Angola,Snacks,Online,C,6591,152.58,97.44,363427.74,2012,11,sun,20 days
Asia,Cambodia,Cereal,Online,L,5376,205.7,117.11,476259.84,2011,10,sun,23 days
Central America and the Caribbean,Guatemala,Baby Food,Offline,L,4802,255.28,159.42,460319.72,2010,11,mon,15 days
Sub-Saharan Africa,Namibia,Vegetables,Online,L,7217,154.06,90.93,455609.21,2016,5,sat,1 days
Europe,Serbia,Beverages,Offline,H,2001,47.45,31.79,31335.66,2016,2,fri,22 days
Middle East and North Africa,Turkey,Vegetables,Offline,M,564,154.06,90.93,35605.32,2014,8,sat,36 days
Middle East and North Africa,Pakistan,Vegetables,Offline,C,1351,154.06,90.93,85288.63,2013,5,sat,35 days
Europe,Georgia,Vegetables,Offline,H,4833,154.06,90.93,305107.29,2015,1,sun,28 days
Australia and Oceania,Vanuatu,Snacks,Offline,L,8516,152.58,97.44,469572.24,2012,1,fri,11 days
Europe,Luxembourg,Cosmetics,Online,H,1937,437.2,263.33,336786.19,2012,10,sat,43 days
Middle East and North Africa,Saudi Arabia,Household,Online,M,1661,668.27,502.54,275277.53,2015,9,tue,19 days
Australia and Oceania,Vanuatu,Meat,Offline,H,6289,421.89,364.69,359730.8,2012,6,wed,3 days
Central America and the Caribbean,Haiti,Snacks,Offline,H,1450,152.58,97.44,79953.0,2014,12,mon,43 days
Sub-Saharan Africa,Tanzania,Household,Offline,C,4805,668.27,502.54,796332.65,2013,2,sun,0 days
Asia,North Korea,Cosmetics,Offline,C,1047,437.2,263.33,182041.89,2017,2,thur,26 days
Middle East and North Africa,Bahrain,Beverages,Online,L,6899,47.45,31.79,108038.34,2015,6,tue,34 days
Sub-Saharan Africa,Cote d'Ivoire,Cereal,Online,L,6115,205.7,117.11,541727.85,2016,7,fri,26 days
Asia,Singapore,Cosmetics,Offline,L,4483,437.2,263.33,779459.21,2014,10,wed,18 days
Asia,Malaysia,Baby Food,Offline,M,4820,255.28,159.42,462045.2,2016,12,thur,13 days
Europe,Albania,Baby Food,Online,L,1973,255.28,159.42,189131.78,2015,9,sun,28 days
Sub-Saharan Africa,Gabon,Snacks,Online,L,7824,152.58,97.44,431415.36,2016,4,fri,19 days
Europe,Poland,Snacks,Offline,L,6283,152.58,97.44,346444.62,2017,3,sun,3 days
Sub-Saharan Africa,Chad,Office Supplies,Online,H,8292,651.21,524.96,1046865.0,2014,6,tue,38 days
Sub-Saharan Africa,Republic of the Congo,Clothes,Online,H,6826,109.28,35.84,501301.44,2012,7,sat,44 days
Asia,Philippines,Fruits,Offline,L,1888,9.33,6.92,4550.08,2013,5,fri,28 days
Europe,France,Snacks,Offline,M,5516,152.58,97.44,304152.24,2012,2,wed,13 days
Europe,Germany,Household,Offline,H,6777,668.27,502.54,1123152.21,2016,7,sat,8 days
Sub-Saharan Africa,Uganda,Personal Care,Online,M,6769,81.73,56.67,169631.14,2012,11,sat,38 days
Middle East and North Africa,Bahrain,Personal Care,Online,C,3621,81.73,56.67,90742.26,2014,8,mon,12 days
Middle East and North Africa,Jordan,Office Supplies,Offline,M,7497,651.21,524.96,946496.25,2013,10,mon,6 days
Europe,Montenegro,Beverages,Offline,L,5586,47.45,31.79,87476.76,2014,12,sun,33 days
Middle East and North Africa,Tunisia ,Personal Care,Offline,H,7114,81.73,56.67,178276.84,2015,11,sun,19 days
Europe,Germany,Cereal,Offline,M,8335,205.7,117.11,738397.65,2011,10,thur,28 days
Europe,Italy,Snacks,Online,L,7536,152.58,97.44,415535.04,2014,2,sat,40 days
Europe,France,Office Supplies,Offline,H,33,651.21,524.96,4166.25,2016,5,sat,18 days
Middle East and North Africa,Algeria,Baby Food,Online,L,3175,255.28,159.42,304355.5,2013,4,sun,45 days
Asia,Myanmar,Beverages,Online,H,1343,47.45,31.79,21031.38,2011,9,mon,36 days
Europe,France,Vegetables,Offline,C,947,154.06,90.93,59784.11,2012,4,wed,22 days
Europe,Spain,Vegetables,Online,C,5429,154.06,90.93,342732.77,2012,10,mon,23 days
Asia,Cambodia,Baby Food,Offline,C,264,255.28,159.42,25307.04,2012,1,sun,23 days
Sub-Saharan Africa,The Gambia,Vegetables,Online,M,7956,154.06,90.93,502262.28,2013,9,sun,41 days
Europe,Russia,Baby Food,Offline,L,3041,255.28,159.42,291510.26,2015,3,mon,10 days
Europe,Belarus,Baby Food,Offline,H,7088,255.28,159.42,679455.68,2010,10,mon,5 days
Middle East and North Africa,Turkey,Beverages,Online,C,3693,47.45,31.79,57832.38,2011,5,sun,11 days
Sub-Saharan Africa,Kenya,Meat,Offline,C,3488,421.89,364.69,199513.6,2017,2,sat,1 days
Middle East and North Africa,Iran,Cosmetics,Offline,M,9133,437.2,263.33,1587954.71,2014,7,sat,13 days
Asia,Vietnam,Personal Care,Offline,L,321,81.73,56.67,8044.26,2017,6,sat,22 days
Europe,Albania,Beverages,Online,L,8775,47.45,31.79,137416.5,2010,7,sun,18 days
Central America and the Caribbean,Antigua and Barbuda ,Clothes,Offline,C,3251,109.28,35.84,238753.44,2013,8,thur,26 days
Sub-Saharan Africa,Senegal,Cereal,Offline,M,4534,205.7,117.11,401667.06,2017,3,wed,38 days
Europe,Netherlands,Fruits,Online,L,441,9.33,6.92,1062.81,2016,10,sun,32 days
Europe,Russia,Fruits,Online,C,822,9.33,6.92,1981.02,2016,7,sat,0 days
Europe,Slovakia,Cosmetics,Online,H,2557,437.2,263.33,444585.59,2010,1,wed,22 days
Australia and Oceania,East Timor,Beverages,Offline,L,4556,47.45,31.79,71346.96,2014,12,fri,43 days
Central America and the Caribbean,Haiti,Vegetables,Offline,H,2761,154.06,90.93,174301.93,2015,10,thur,42 days
Middle East and North Africa,Yemen,Cereal,Online,H,5147,205.7,117.11,455972.73,2013,5,thur,16 days
Australia and Oceania,Tuvalu,Cereal,Online,C,6719,205.7,117.11,595236.21,2013,3,tue,49 days
Sub-Saharan Africa,Liberia,Snacks,Offline,M,4512,152.58,97.44,248791.68,2014,7,sat,35 days
Asia,North Korea,Beverages,Online,C,2594,47.45,31.79,40622.04,2013,8,thur,10 days
Asia,North Korea,Household,Online,M,7063,668.27,502.54,1170550.99,2015,7,mon,24 days
Europe,Romania,Household,Online,H,1050,668.27,502.54,174016.5,2014,12,mon,11 days
Sub-Saharan Africa,Sao Tome and Principe,Cereal,Offline,M,9715,205.7,117.11,860651.85,2015,4,sun,22 days
Middle East and North Africa,Bahrain,Fruits,Online,M,5251,9.33,6.92,12654.91,2017,3,mon,45 days
Middle East and North Africa,Somalia,Cosmetics,Offline,M,1881,437.2,263.33,327049.47,2014,10,wed,31 days
Europe,Cyprus,Cereal,Online,C,861,205.7,117.11,76275.99,2014,7,sat,19 days
Europe,United Kingdom,Beverages,Offline,C,5477,47.45,31.79,85769.82,2016,7,sat,13 days
Europe,Germany,Personal Care,Offline,H,6045,81.73,56.67,151487.7,2010,8,sun,3 days
Middle East and North Africa,Somalia,Beverages,Online,M,4915,47.45,31.79,76968.9,2010,4,wed,45 days
Australia and Oceania,New Zealand,Household,Offline,H,1466,668.27,502.54,242960.18,2011,3,tue,30 days
Middle East and North Africa,Kuwait,Meat,Online,C,7110,421.89,364.69,406692.0,2010,1,tue,15 days
Asia,Japan,Cosmetics,Online,L,289,437.2,263.33,50248.43,2016,1,tue,44 days
Europe,Norway,Baby Food,Offline,H,1476,255.28,159.42,141489.36,2016,8,tue,24 days
Sub-Saharan Africa,Lesotho,Personal Care,Offline,C,8177,81.73,56.67,204915.62,2011,10,fri,1 days
Europe,Belgium,Cosmetics,Online,H,9928,437.2,263.33,1726181.36,2010,2,thur,36 days
Central America and the Caribbean,Honduras,Cosmetics,Offline,L,3295,437.2,263.33,572901.65,2017,5,sun,24 days
Europe,Austria,Household,Offline,C,6878,668.27,502.54,1139890.94,2010,4,fri,26 days
Middle East and North Africa,Oman,Baby Food,Online,M,6307,255.28,159.42,604589.02,2015,9,mon,42 days
Middle East and North Africa,Oman,Baby Food,Offline,C,9242,255.28,159.42,885938.12,2016,2,fri,33 days
Europe,Spain,Snacks,Offline,M,376,152.58,97.44,20732.64,2014,2,sat,0 days
Middle East and North Africa,Afghanistan,Fruits,Online,C,6433,9.33,6.92,15503.53,2013,4,sun,8 days
Central America and the Caribbean,Saint Vincent and the Grenadines,Cosmetics,Offline,L,1167,437.2,263.33,202906.29,2014,7,mon,8 days
Europe,Iceland,Vegetables,Online,M,365,154.06,90.93,23042.45,2012,3,tue,15 days
Asia,Myanmar,Vegetables,Offline,L,6844,154.06,90.93,432061.72,2013,1,sun,33 days
Europe,Netherlands,Snacks,Offline,L,5453,152.58,97.44,300678.42,2017,5,sun,29 days
Europe,Slovakia,Vegetables,Online,M,8071,154.06,90.93,509522.23,2015,3,sun,8 days
Middle East and North Africa,Bahrain,Fruits,Offline,H,8610,9.33,6.92,20750.1,2012,9,thur,39 days
Sub-Saharan Africa,Lesotho,Baby Food,Online,L,8012,255.28,159.42,768030.32,2013,6,wed,28 days
Central America and the Caribbean,Cuba,Clothes,Offline,L,9250,109.28,35.84,679320.0,2014,4,tue,47 days
Middle East and North Africa,Afghanistan,Clothes,Offline,C,2331,109.28,35.84,171188.64,2017,1,thur,0 days
Australia and Oceania,Vanuatu,Cereal,Online,L,9289,205.7,117.11,822912.51,2017,2,thur,13 days
Asia,Bhutan,Beverages,Offline,M,9192,47.45,31.79,143946.72,2014,8,mon,45 days
Australia and Oceania,Palau,Cereal,Offline,L,3139,205.7,117.11,278084.01,2010,10,tue,17 days
Asia,Indonesia,Personal Care,Online,H,9259,81.73,56.67,232030.54,2011,9,fri,43 days
Europe,Andorra,Baby Food,Offline,C,7714,255.28,159.42,739464.04,2016,12,sun,46 days
Middle East and North Africa,Algeria,Office Supplies,Online,C,5696,651.21,524.96,719120.0,2015,10,sun,40 days
Australia and Oceania,Vanuatu,Cosmetics,Offline,C,2429,437.2,263.33,422330.23,2013,10,sun,0 days
North America,Mexico,Baby Food,Online,H,4168,255.28,159.42,399544.48,2013,8,fri,42 days
Europe,Macedonia,Fruits,Offline,M,9199,9.33,6.92,22169.59,2011,8,sat,44 days
Central America and the Caribbean,Panama,Personal Care,Online,H,2838,81.73,56.67,71120.28,2016,5,sat,21 days
Asia,Nepal,Cereal,Offline,H,2436,205.7,117.11,215805.24,2015,1,mon,2 days
Asia,Nepal,Fruits,Online,C,2371,9.33,6.92,5714.11,2014,7,mon,7 days
Sub-Saharan Africa,Mauritius ,Cereal,Offline,C,9055,205.7,117.11,802182.45,2015,6,wed,15 days
Sub-Saharan Africa,Sao Tome and Principe,Clothes,Online,H,5930,109.28,35.84,435499.2,2015,8,sun,47 days
Central America and the Caribbean,Saint Vincent and the Grenadines,Fruits,Offline,L,8470,9.33,6.92,20412.7,2013,10,fri,33 days
Asia,Maldives,Personal Care,Online,M,9180,81.73,56.67,230050.8,2013,10,tue,45 days
Sub-Saharan Africa,Swaziland,Personal Care,Offline,H,2595,81.73,56.67,65030.7,2012,9,tue,18 days
Middle East and North Africa,Morocco,Cereal,Online,H,284,205.7,117.11,25159.56,2012,10,mon,24 days
Asia,Maldives,Clothes,Offline,M,5844,109.28,35.84,429183.36,2016,12,sat,48 days
Sub-Saharan Africa,Zimbabwe,Fruits,Offline,C,9907,9.33,6.92,23875.87,2010,7,sun,14 days
Asia,India,Cereal,Online,C,5132,205.7,117.11,454643.88,2010,3,fri,10 days
Asia,Tajikistan,Beverages,Offline,C,1212,47.45,31.79,18979.92,2014,9,wed,11 days
Sub-Saharan Africa,Lesotho,Snacks,Offline,M,9872,152.58,97.44,544342.08,2016,3,tue,6 days
Asia,Bhutan,Office Supplies,Offline,M,9865,651.21,524.96,1245456.25,2011,10,tue,22 days
Central America and the Caribbean,Trinidad and Tobago,Snacks,Offline,L,1978,152.58,97.44,109066.92,2014,10,thur,50 days
Australia and Oceania,Tuvalu,Fruits,Offline,L,4028,9.33,6.92,9707.48,2013,2,fri,16 days
Middle East and North Africa,Iraq,Clothes,Offline,L,5864,109.28,35.84,430652.16,2010,10,sun,15 days
Sub-Saharan Africa,The Gambia,Vegetables,Offline,L,4366,154.06,90.93,275625.58,2016,10,mon,26 days
Middle East and North Africa,Bahrain,Beverages,Online,C,8445,47.45,31.79,132248.7,2010,9,fri,43 days
Middle East and North Africa,Qatar,Meat,Online,H,4043,421.89,364.69,231259.6,2014,12,sun,47 days
Sub-Saharan Africa,Angola,Household,Offline,H,9135,668.27,502.54,1513943.55,2015,4,tue,33 days
Central America and the Caribbean,Costa Rica,Cosmetics,Online,L,8724,437.2,263.33,1516841.88,2017,3,wed,35 days
Australia and Oceania,Papua New Guinea,Household,Online,M,9847,668.27,502.54,1631943.31,2012,3,tue,50 days
Middle East and North Africa,Qatar,Clothes,Offline,C,6571,109.28,35.84,482574.24,2011,11,mon,10 days
Central America and the Caribbean,Saint Kitts and Nevis ,Clothes,Offline,H,4995,109.28,35.84,366832.8,2013,9,sat,17 days
Sub-Saharan Africa,Sierra Leone,Fruits,Offline,C,8250,9.33,6.92,19882.5,2012,4,sun,6 days
Europe,Russia,Fruits,Online,M,1495,9.33,6.92,3602.95,2011,2,sun,26 days
Europe,Lithuania,Vegetables,Offline,M,6923,154.06,90.93,437048.99,2010,10,tue,16 days
Europe,United Kingdom,Vegetables,Online,L,8759,154.06,90.93,552955.67,2012,12,fri,26 days
Asia,Indonesia,Personal Care,Offline,H,8256,81.73,56.67,206895.36,2016,8,tue,47 days
Asia,Mongolia,Beverages,Offline,M,8702,47.45,31.79,136273.32,2014,4,tue,31 days
Middle East and North Africa,Egypt,Office Supplies,Online,C,413,651.21,524.96,52141.25,2010,11,wed,20 days
Sub-Saharan Africa,Comoros,Household,Online,M,5738,668.27,502.54,950958.74,2012,4,sat,17 days
Europe,Slovenia,Household,Offline,M,4057,668.27,502.54,672366.61,2014,4,fri,16 days
Middle East and North Africa,Lebanon,Beverages,Online,M,6781,47.45,31.79,106190.46,2013,6,thur,22 days
Australia and Oceania,Australia,Cosmetics,Offline,L,2352,437.2,263.33,408942.24,2011,7,tue,31 days
Central America and the Caribbean,Haiti,Snacks,Online,M,1245,152.58,97.44,68649.3,2011,2,mon,48 days
Central America and the Caribbean,Saint Kitts and Nevis ,Meat,Online,L,963,421.89,364.69,55083.6,2012,1,thur,20 days
Middle East and North Africa,Syria,Vegetables,Offline,M,1044,154.06,90.93,65907.72,2015,6,tue,7 days
Asia,Laos,Snacks,Offline,M,8054,152.58,97.44,444097.56,2012,1,mon,5 days
Central America and the Caribbean,Saint Kitts and Nevis ,Cereal,Offline,H,592,205.7,117.11,52445.28,2016,2,sat,27 days
Sub-Saharan Africa,Sudan,Vegetables,Offline,H,4288,154.06,90.93,270701.44,2016,12,sat,18 days
Central America and the Caribbean,Guatemala,Meat,Offline,H,6803,421.89,364.69,389131.6,2012,1,sun,44 days
Asia,Brunei,Clothes,Offline,H,2830,109.28,35.84,207835.2,2011,8,fri,3 days
Middle East and North Africa,Jordan,Clothes,Online,M,9092,109.28,35.84,667716.48,2011,8,thur,10 days
Central America and the Caribbean,Panama,Meat,Offline,C,9344,421.89,364.69,534476.8,2012,12,mon,18 days
Sub-Saharan Africa,Central African Republic,Household,Online,H,9372,668.27,502.54,1553221.56,2010,1,sat,40 days
Middle East and North Africa,Bahrain,Beverages,Offline,M,1993,47.45,31.79,31210.38,2017,2,mon,31 days
Sub-Saharan Africa,Burundi,Beverages,Online,C,2057,47.45,31.79,32212.62,2011,12,wed,8 days
Europe,Austria,Cereal,Online,L,1443,205.7,117.11,127835.37,2014,8,sun,26 days
Australia and Oceania,Fiji,Beverages,Offline,H,4062,47.45,31.79,63610.92,2016,4,mon,3 days
Australia and Oceania,Fiji,Clothes,Offline,M,856,109.28,35.84,62864.64,2012,11,mon,48 days
Europe,Switzerland,Snacks,Online,H,4800,152.58,97.44,264672.0,2016,5,thur,27 days
Middle East and North Africa,Yemen,Office Supplies,Offline,M,5898,651.21,524.96,744622.5,2013,8,sat,1 days
Sub-Saharan Africa,Comoros,Personal Care,Offline,H,6186,81.73,56.67,155021.16,2014,12,tue,42 days
Sub-Saharan Africa,Democratic Republic of the Congo,Office Supplies,Online,C,4732,651.21,524.96,597415.0,2013,2,sun,8 days
Asia,Mongolia,Clothes,Offline,H,2633,109.28,35.84,193367.52,2016,9,thur,25 days
Australia and Oceania,Palau,Household,Offline,L,8021,668.27,502.54,1329320.33,2016,11,mon,1 days
Europe,Monaco,Snacks,Offline,M,1057,152.58,97.44,58282.98,2012,12,wed,13 days
Australia and Oceania,Fiji,Cereal,Online,L,8932,205.7,117.11,791285.88,2017,3,thur,24 days
Sub-Saharan Africa,Mali,Beverages,Online,L,870,47.45,31.79,13624.2,2012,3,fri,9 days
Sub-Saharan Africa,Liberia,Cereal,Offline,H,3126,205.7,117.11,276932.34,2015,12,wed,34 days
Europe,Switzerland,Beverages,Offline,L,3987,47.45,31.79,62436.42,2017,2,fri,26 days
Australia and Oceania,Samoa ,Baby Food,Online,L,8769,255.28,159.42,840596.34,2016,11,fri,0 days
Asia,Nepal,Meat,Offline,C,4821,421.89,364.69,275761.2,2017,4,sat,39 days
Middle East and North Africa,Azerbaijan,Snacks,Offline,C,6524,152.58,97.44,359733.36,2010,4,sat,7 days
Europe,Georgia,Baby Food,Offline,H,288,255.28,159.42,27607.68,2011,8,sun,37 days
Middle East and North Africa,United Arab Emirates,Vegetables,Online,C,9556,154.06,90.93,603270.28,2011,5,wed,47 days
Europe,Finland,Household,Offline,L,9801,668.27,502.54,1624319.73,2016,1,sun,20 days
Europe,Portugal,Cereal,Offline,C,3528,205.7,117.11,312545.52,2014,4,wed,28 days
